,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
0,40.5,2.6,17.25,3.9,15.5,3.28,cycling
1,35.5,1.5,19.75,1.3,18.5,3.77,cycling
2,35.25,1.3,13.67,6.13,18.5,0.5,cycling
3,35.25,3.9,14.75,3.27,21.25,1.79,cycling
4,32.25,2.49,10.67,6.6,15.5,4.39,cycling
5,41.0,1.41,15.0,2.0,14.0,1.63,cycling
6,37.67,6.6,15.0,4.24,14.25,2.49,cycling
7,35.5,1.5,20.75,4.55,16.25,2.86,cycling
8,32.75,2.17,13.5,6.58,12.75,4.32,cycling
9,30.0,3.54,10.0,5.52,15.0,3.0,cycling
10,35.0,1.41,8.75,3.27,15.67,3.3,cycling
11,40.0,1.0,17.5,1.5,10.5,6.42,cycling
12,38.33,1.7,14.33,3.3,16.75,2.49,cycling
13,36.75,0.83,21.0,0.0,17.5,1.8,cycling
14,34.25,3.03,13.0,3.94,13.25,2.95,cycling
15,31.25,3.42,14.75,4.97,17.0,1.73,cycling
16,35.5,3.35,9.5,1.5,16.0,2.83,cycling
17,40.5,1.12,15.0,1.22,15.75,4.76,cycling
18,39.5,3.77,14.0,2.12,18.5,3.77,cycling
19,37.0,1.22,22.5,1.5,18.0,0.0,cycling
20,35.25,2.59,21.25,2.17,9.75,1.48,cycling
21,33.0,5.92,16.75,3.7,14.75,4.6,cycling
22,34.5,3.35,12.0,5.39,12.0,3.24,cycling
23,40.25,2.49,11.25,2.68,14.75,5.54,cycling
24,38.33,2.62,9.67,4.11,20.33,2.05,cycling
25,33.0,2.45,17.33,7.41,18.0,6.52,cycling
26,36.5,0.5,22.25,2.05,11.0,6.44,cycling
27,38.0,2.12,17.0,3.74,16.33,5.25,cycling
28,35.25,3.96,17.67,1.25,15.25,4.55,cycling
29,39.75,2.49,12.5,1.5,15.25,5.07,cycling
30,36.25,2.17,17.0,2.94,18.0,2.16,cycling
31,37.25,1.3,23.0,1.22,18.5,1.8,cycling
32,33.75,2.49,15.5,2.18,8.25,5.12,cycling
33,34.0,3.74,14.67,6.34,16.25,2.68,cycling
34,30.75,4.82,17.33,0.47,15.0,0.71,cycling
35,38.25,1.3,14.25,1.92,10.67,1.25,cycling
36,41.75,0.83,17.5,0.5,13.25,5.58,cycling
37,40.0,3.27,16.5,4.5,17.33,4.5,cycling
38,36.0,2.12,17.25,3.27,20.5,1.5,cycling
39,34.5,1.5,16.25,1.79,10.0,5.52,cycling
40,35.33,3.3,16.5,3.35,17.0,2.16,cycling
41,35.33,2.49,14.67,2.05,10.5,3.2,cycling
42,39.25,2.17,15.67,1.25,14.25,3.9,cycling
43,38.75,3.49,11.0,3.94,19.0,1.58,cycling
44,37.25,1.09,21.25,1.48,16.5,1.8,cycling
45,36.5,2.29,14.5,2.5,2.5,0.5,cycling
46,34.75,3.03,15.67,2.49,16.0,2.94,cycling
47,26.0,7.52,14.0,1.58,15.5,5.02,cycling
48,37.25,1.3,11.25,2.17,10.75,2.77,cycling
49,41.5,0.5,14.5,5.59,18.67,2.62,cycling
50,36.0,4.24,19.25,3.83,15.75,3.9,cycling
51,35.5,1.5,17.75,4.6,11.67,5.31,cycling
52,34.5,2.69,16.33,4.64,16.33,3.86,cycling
53,36.5,3.2,12.0,2.94,15.67,2.62,cycling
54,39.67,0.47,13.0,3.08,13.33,0.94,cycling
55,41.5,0.87,13.5,4.15,16.75,3.27,cycling
56,35.5,2.6,19.25,5.4,19.25,3.03,cycling
57,36.25,0.43,16.33,3.68,10.67,5.44,cycling
58,35.75,3.63,16.5,1.5,17.5,6.8,cycling
59,34.0,1.41,11.67,0.94,12.75,5.12,cycling
60,41.75,2.49,17.67,0.47,16.0,1.41,cycling
